"Guid","CurrencyIsoCode","SBQQ__AttributeSet__c","SBQQ__ProductOption__c","SBQQ__Sequence__c"
2dcfaf74-60a0-485b-985b-42cafc31f181,USD,b88ab255-12fd-4b1c-80d9-fee8737f878c,c88a3075-9b89-4687-944a-50d67a3f75ca,1.0
5c6c8df1-c92c-4220-b148-d954c51ec97d,USD,b88ab255-12fd-4b1c-80d9-fee8737f878c,be1b4032-3d07-485c-aa09-656d0993de9c,1.0
61ec31c7-25e0-4002-982b-aa82fa6587ce,USD,b88ab255-12fd-4b1c-80d9-fee8737f878c,173d50bb-7595-4908-ab29-dc14b85961ac,1.0
ca4ad643-d869-4075-babc-25c4ebce2875,USD,b88ab255-12fd-4b1c-80d9-fee8737f878c,f93540ca-03d1-4bee-80f9-fd360c3c6a00,1.0
ec00497c-51b8-42ee-ab4b-ad10f46eabd6,USD,b88ab255-12fd-4b1c-80d9-fee8737f878c,61b2a9b9-534b-4adb-9e5c-3bb5ed373db8,1.0
