"Guid","CurrencyIsoCode","Name","SBQQDS__EnvelopeId__c","SBQQDS__ErrorMessage__c","SBQQDS__SenderURL__c","SBQQDS__SignedDate__c","SBQQDS__VoidedReason__c","SBQQ__AttachmentId__c","SBQQ__CustomerAmount__c","SBQQ__DocumentId__c","SBQQ__ElectronicSignature__c","SBQQ__Key__c","SBQQ__ListAmount__c","SBQQ__NetAmount__c","SBQQ__OutputFormat__c","SBQQ__PaperSize__c","SBQQ__QuoteTemplate__c","SBQQ__Quote__c","SBQQ__SignatureStatus__c","SBQQ__Template__c","SBQQ__Version__c"
1d068b54-b03b-4ce8-baa1-b2ecfbf24546,USD,Q-09629-20190410-1544,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",195000.0,0153h000001A8lLAAS,false,a0l1I00000CPBfrQAH_1,541001.0,195000.0,PDF,Default,3517d51e-2266-473d-aa4a-0e0e95c5513d,418a5462-2fe2-4f1a-8cc9-900b27a3c7f3,"#N/A",Proposal,1.0
2263c9fc-e913-49b1-8511-8d1931c3eec2,USD,Q-11521-20190606-0227,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",266656.0,0153h000001A8mMAAS,false,a0l1I0000085BTJQA2_1,297940.0,266656.0,PDF,Default,3517d51e-2266-473d-aa4a-0e0e95c5513d,cdafcfc1-edf9-468d-be84-f3836377f714,"#N/A",Proposal,1.0
227add77-3cbc-4125-ac7a-1d9fe165e521,EUR,Q-10901-20190520-0535,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",437019.3600000000000000000000000000000004,0153h000001A8mvAAC,false,a0l1I00000CRz6RQAT_1,536987.5,437019.3600000000000000000000000000000004,PDF,Default,3517d51e-2266-473d-aa4a-0e0e95c5513d,0179c3a5-fd5b-4e9b-9f63-ec3ac7e8e76a,"#N/A",Proposal,1.0
2312c7a5-aa6c-41d0-b5b8-25e7c6e2d927,USD,Q-11354-20190529-1601,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",47261.6,0153h000001A8mIAAS,false,a0l1I0000084PrhQAE_1,51897.0,47261.6,PDF,Default,3517d51e-2266-473d-aa4a-0e0e95c5513d,41226198-9852-460f-b227-e558300573e9,"#N/A",Proposal,1.0
2641e8d0-b116-4d59-944a-523cd6d0beca,USD,Q-09495-20190408-0734,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",95137.75,0153h000001A8lKAAS,false,a0l1I00000COvjGQAT_1,112668.25,95137.75,PDF,Default,3517d51e-2266-473d-aa4a-0e0e95c5513d,b463e392-62ce-4b4a-8271-f92260d43a98,"#N/A",Proposal,1.0
2aa6d12d-1375-4055-bd1c-8f8b9400d190,USD,Q-07302-20190220-0919,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",292278.53,0153h000001A8lQAAS,false,a0l1I0000099arYQAQ_1,362691.0,292278.53,PDF,Default,3517d51e-2266-473d-aa4a-0e0e95c5513d,e9f426af-9a5f-4a91-bc32-90eedeefee51,"#N/A",Proposal,1.0
2f12950c-c288-4620-928b-d97a9302d2ff,EUR,Q-10582-20190509-0826,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",450000.0000000000000000000000000000000006,0153h000001A8meAAC,false,a0l1I00000CRHQiQAP_2,1535200.0,450000.0000000000000000000000000000000006,PDF,Default,3517d51e-2266-473d-aa4a-0e0e95c5513d,5c397107-5b01-4857-9095-b07a862b2e58,"#N/A",Proposal,2.0
2f7e0acc-53cb-4987-aa7d-48c6a885ffca,USD,Q-08757-20190317-0957,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",97205.46,0153h000001A8lpAAC,false,a0l1I00000A2iGuQAJ_1,113201.0,97205.46,PDF,Default,3517d51e-2266-473d-aa4a-0e0e95c5513d,14c7f3f1-e425-4984-9372-540c3994e7a0,"#N/A",Proposal,1.0
301d8e49-405a-4561-a7db-f1db1d165f59,USD,Q-08733-20190316-1518,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",97988.08,0153h000001A8llAAC,false,a0l1I00000A2hkbQAB_1,121841.0,97988.08,PDF,Default,3517d51e-2266-473d-aa4a-0e0e95c5513d,ea427118-2009-4156-868c-f8adf0066d1d,"#N/A",Proposal,1.0
351a4126-3942-41f2-9e5b-70b03a6873eb,USD,Q-10936-20190520-0804,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",416771.0,0153h000001A8n1AAC,false,a0l1I00000CS0obQAD_1,949250.0,416771.0,PDF,Default,3517d51e-2266-473d-aa4a-0e0e95c5513d,33be4c6f-5e1c-44bc-bb8b-70611deed3ce,"#N/A",Proposal,1.0
