"Guid","CurrencyIsoCode","SBQQ__Active__c","SBQQ__AscendingNestedLevel__c","SBQQ__DescendingActionNesting__c","SBQQ__DescendingNestedLevel__c","SBQQ__ProductFeature__c","SBQQ__ProductRule__c","SBQQ__Product__c"
9f14eaa9-d57d-4c77-846a-4cd32d85879a,USD,true,"#N/A","#N/A","#N/A","#N/A",160eadea-9e1c-49db-996f-e9a531976415,240b6896-ed41-4537-9814-97fdff94d435
a21e0c08-1000-4534-aa59-b60038077857,USD,true,"#N/A","#N/A","#N/A","#N/A",8d0b6595-ae18-4cf4-990e-026d88d3c115,1234b623-6dc3-41ff-839c-b95e77722972
a44d89c8-70ac-4b48-828e-1ab25f70e8e0,USD,true,"#N/A","#N/A","#N/A","#N/A",7967d986-7120-4996-9509-b8536b9c6bd5,99f36127-6c8f-4ccc-b9ea-97bab290bef1
b5c1e180-8441-47a6-947d-8704f61ea36d,USD,true,"#N/A","#N/A","#N/A","#N/A",72b5573d-9696-4648-9beb-67d10920f9d2,99f36127-6c8f-4ccc-b9ea-97bab290bef1
b639ce66-7673-4c61-9ce7-6d22c2c1936d,USD,true,"#N/A","#N/A","#N/A","#N/A",dc1c3416-b6d3-4ed7-b92f-509cff1868aa,240b6896-ed41-4537-9814-97fdff94d435
b6d96ff7-067a-4b72-815e-3dbc15cf28ec,USD,true,"#N/A","#N/A","#N/A","#N/A",44f93b99-c294-4c1e-926f-577737c79d74,1234b623-6dc3-41ff-839c-b95e77722972
b7ace545-85c0-44e8-a777-5d79b9fdd40a,USD,true,"#N/A","#N/A","#N/A","#N/A",caed1dcd-519d-456a-b6f1-cc9c009a4360,da0e5622-6c9a-4548-8ce1-ef9fe8ebf5de
bdf6a05b-774d-4e5d-8cfb-fac685ed6320,USD,true,"#N/A","#N/A","#N/A","#N/A",a70e7f33-1e7a-4fbd-9037-0c793c8fc5a1,5bff035a-8034-4fbe-894c-29779f9619c1
c2342d3e-4891-452f-b2b7-e1e99bb54f33,USD,true,"#N/A","#N/A","#N/A","#N/A",caed1dcd-519d-456a-b6f1-cc9c009a4360,99f36127-6c8f-4ccc-b9ea-97bab290bef1
c6e0f4c7-c44d-4ef6-b420-72ca00570866,USD,true,"#N/A","#N/A","#N/A","#N/A",0fb13ace-6950-4c1a-84eb-edca50b5abd4,5bff035a-8034-4fbe-894c-29779f9619c1
ce3da088-b95b-41f1-b55d-bc94ed188c0a,USD,true,"#N/A","#N/A","#N/A","#N/A",68c5e93a-de9b-4a1b-a996-29989c7549f4,99f36127-6c8f-4ccc-b9ea-97bab290bef1
cfc7d17f-754a-4730-9b52-02dcde866408,USD,true,"#N/A","#N/A","#N/A","#N/A",7967d986-7120-4996-9509-b8536b9c6bd5,da0e5622-6c9a-4548-8ce1-ef9fe8ebf5de
d1d25d87-ffd5-415d-a37c-5803458dad40,USD,true,"#N/A","#N/A","#N/A","#N/A",ccf2ed78-6a67-4ab6-bee2-9182e4d2f6ce,240b6896-ed41-4537-9814-97fdff94d435
d7fc3bb5-0a9b-4403-a9b8-619e24ed3dea,USD,true,"#N/A","#N/A","#N/A","#N/A",c4eafc88-493f-491f-8ff4-2fa37720531e,5bff035a-8034-4fbe-894c-29779f9619c1
da8a8f10-3100-4b05-b0af-59127ebf0f73,USD,true,"#N/A","#N/A","#N/A","#N/A",7070db20-0d6a-4080-b25c-c234f34258ed,5bff035a-8034-4fbe-894c-29779f9619c1
dba9f74f-cba5-42de-8ab7-a0b112dc2058,USD,true,"#N/A","#N/A","#N/A","#N/A",120a5180-15bd-4f7e-9496-422b284707a5,99f36127-6c8f-4ccc-b9ea-97bab290bef1
dbfe8ee6-f51b-4198-adf1-2515ff07fe6c,USD,true,"#N/A","#N/A","#N/A","#N/A",e5af692c-513d-470d-8753-41d40428f7a2,5bff035a-8034-4fbe-894c-29779f9619c1
deb58439-d60b-494f-9692-cbb6dd0fcdca,USD,true,"#N/A","#N/A","#N/A",35ce07d8-057f-4dbf-b1ed-1cfda62d78b3,8253120d-87d2-4b33-be5e-65758a7be42f,99f36127-6c8f-4ccc-b9ea-97bab290bef1
dfb09087-6dca-4036-8ba8-b746b05bec5e,USD,true,"#N/A","#N/A","#N/A",b3e8abcf-0068-4852-8d37-01a1994b592e,4128905b-85d1-4d01-b8a6-6aa53b74701a,da0e5622-6c9a-4548-8ce1-ef9fe8ebf5de
e59fe462-2cfe-440a-bc0a-4b758bcda4b1,USD,true,"#N/A","#N/A","#N/A","#N/A",b3ec024c-7c9c-4cd8-b275-3a83fad9ae52,5bff035a-8034-4fbe-894c-29779f9619c1
ecd44f43-1e05-457f-ba88-4934d3d1ac0b,USD,true,"#N/A","#N/A","#N/A","#N/A",00ec9d13-ade0-47ab-b0a1-0ce3d50bab48,5bff035a-8034-4fbe-894c-29779f9619c1
f323da71-d74e-47cf-ae3f-e51c9fdd7a72,USD,true,"#N/A","#N/A","#N/A","#N/A",2b149a49-fb0a-42e5-af84-80c17ba06eb8,da0e5622-6c9a-4548-8ce1-ef9fe8ebf5de
f3585c8c-4ed7-43c6-8a85-5c452a06ca73,USD,false,"#N/A","#N/A","#N/A","#N/A",2b149a49-fb0a-42e5-af84-80c17ba06eb8,99f36127-6c8f-4ccc-b9ea-97bab290bef1
f8b21d3f-f337-4963-a5b6-898b4ea4a46c,USD,true,"#N/A","#N/A","#N/A","#N/A",68c5e93a-de9b-4a1b-a996-29989c7549f4,da0e5622-6c9a-4548-8ce1-ef9fe8ebf5de
fc760a4d-d5e7-4d14-a4e3-e10a5a674857,USD,true,"#N/A","#N/A","#N/A","#N/A",a37e5d92-fce9-4b6c-a870-2410f03aab12,5bff035a-8034-4fbe-894c-29779f9619c1
