"Guid","CurrencyIsoCode","Name","SBQQ__Action__c","SBQQ__Active__c","SBQQ__BrandButton__c","SBQQ__Class__c","SBQQ__ConditionsMet__c","SBQQ__Default__c","SBQQ__Description__c","SBQQ__DisplayOrder__c","SBQQ__EventHandlerName__c","SBQQ__IconClass__c","SBQQ__Icon__c","SBQQ__Label__c","SBQQ__Location__c","SBQQ__PageHandlerName__c","SBQQ__Page__c","SBQQ__ParentCustomAction__c","SBQQ__ReturnURL__c","SBQQ__TargetObject__c","SBQQ__Type__c","SBQQ__URLTarget__c","SBQQ__URL__c"
4608c1cc-8a45-4b3f-b1ee-dba9c7db684d,USD,Upgrade Assets,Upgrade Assets,true,false,upgradeAssetsBtn,All,false,"#N/A",902.0,onUpgradeAssets,"#N/A","#N/A",Upgrade Assets,Quote/Group,"#N/A",Quote Line Editor,f5e844fe-441a-4415-a004-e086a191b36e,"#N/A","#N/A",Button,"#N/A","#N/A"
51de6f04-cef5-47fb-8a0f-6f220d2123ec,USD,CPQ_PA__PriceAnalyzer,"#N/A",true,false,"#N/A",All,false,View Price Analyzer,999.0,"#N/A",sf-icon-chart,chart,View,Line,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,Popup,/apex/cpq-pa__PriceAnalyzer?SBQQ__Product_c={!SBQQ__Product__c}&SBQQ__Quantity__c={!SBQQ__Quantity__c}&SBQQ__NetPrice__c={!SBQQ__NetPrice__c}
533f3b4e-9709-4e44-b166-e59999bb9d93,USD,View Rate Card,View Rate Card,false,false,viewRateCardBtn,All,false,"#N/A",998.0,onViewRateCard,sf-icon-trending,trending,View Rate Card,Line,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
652c3c26-4e67-4fda-9710-7733775d3214,USD,Amend Subscriptions,Amend Subscriptions,true,false,amendSubscriptionsBtn,All,false,"#N/A",920.0,onAmendSubscriptions,"#N/A","#N/A",Amend Subscriptions,Quote/Group,"#N/A",Quote Line Editor,f5e844fe-441a-4415-a004-e086a191b36e,"#N/A","#N/A",Button,"#N/A","#N/A"
6719804e-6cd8-4862-b50d-8ae73a3e6d1d,USD,Amend Assets,Amend Assets,true,false,"#N/A",All,false,"#N/A",920.0,"#N/A","#N/A","#N/A",Amend Assets,Account Panel,AssetSelectorAmend,Account Detail,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
672bafb4-059f-406b-a34d-1463e9cd9548,USD,View Discount Schedule,View Discount Schedule,true,false,viewDSBtn,All,false,"#N/A",997.0,showDSModal,sf-icon-discountscheduleicons-02,discountscheduleicons-02,View Discount Schedule,Line,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
67442534-9a10-46da-bf64-8dade75039e3,USD,View Consumption Schedule,View Consumption Schedule,true,false,viewConsumptionScheduleBtn,All,false,"#N/A",998.0,onViewConsumptionSchedule,sf-icon-paired-lines,paired-lines,View Consumption Schedule,Line,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
7af8abd6-378d-4fc7-aff8-f18563ab68fe,USD,Create Order,Create Order,true,false,"#N/A",All,false,"#N/A",911.0,"#N/A","#N/A","#N/A",Create Order,Quote Panel,CreateOrderFromQuote,Quote Detail,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
7c19fda8-1790-4ded-a459-656b34f0d9cf,USD,Delete Line,Delete Line,true,false,deleteBtn,All,false,"#N/A",992.0,onDeleteLine,sf-icon-delete,delete,Delete Line,Line,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
7f6b1fc7-fac8-4ad6-9f4a-bc09a3dd3aa8,USD,Apply Edit Rules,Apply Edit Rules,true,false,"#N/A",All,false,"#N/A",901.0,"#N/A","#N/A","#N/A",Apply Rules,Configurator,"#N/A",Product Configurator,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
7fd7d987-aa27-424d-a543-5bab21bdaf6e,USD,Separator,"#N/A",true,false,"#N/A",All,false,"#N/A",912.0,"#N/A",sbToolSeparator,"#N/A",Add Products,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Separator,"#N/A","#N/A"
8c27e488-00ff-4554-8c0b-44aaa2e5b370,USD,Separator,"#N/A",true,false,"#N/A",All,false,"#N/A",908.0,"#N/A",sbToolSeparator,"#N/A",Add Products,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Separator,"#N/A","#N/A"
8e08004e-a653-4924-9ebe-16b8e4bb08f2,USD,Generate Document,Generate Document,true,false,"#N/A",All,false,"#N/A",913.0,"#N/A","#N/A","#N/A",Generate Document,Quote Panel,GenerateDocument,Quote Detail,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
95ed644a-6fd9-4dce-b006-d52c9af3cdf2,USD,Renew Subscriptions,Renew Subscriptions,true,false,renewSubscriptionsBtn,All,false,"#N/A",903.0,onRenewSubscriptions,"#N/A","#N/A",Renew Subscriptions,Quote/Group,"#N/A",Quote Line Editor,f5e844fe-441a-4415-a004-e086a191b36e,"#N/A","#N/A",Button,"#N/A","#N/A"
